getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 0.435268163681 seconds
getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 0.291302919388 seconds
input_IMDB_W2V:: words, dim  89567 300
input_IMDB_W2V::cost 14.1914408207 seconds
input_IMDB_W2V::embdding 17106
train: 900  valid: 100  test: 1000
Warning -- This is embedding_initializer function
weigth decay for  model/hidden_to_out_weight:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/candidate/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/candidate/weights:0
Warning -- This is embedding_initializer function
Build graph done!
EP 1, MB 1, lr 5e-05, MB Loss= 0.7995
EP 12, MB 4, lr 5e-05, MB Loss= 0.6801
EP 12, MB 5, lr 5e-05, MB Loss= 0.6834
EP 12, MB 6, lr 5e-05, MB Loss= 0.6790
EP 12, MB 7, lr 5e-05, MB Loss= 0.6677
EP 12, MB 8, lr 5e-05, MB Loss= 0.6775
EP 12, MB 9, lr 5e-05, MB Loss= 0.6652
Train Loss:  0.6538 Test Loss:  0.6655 Train Accuracy:  0.7689 Test Accuracy:  0.7000


EP 13, MB 1, lr 5e-05, MB Loss= 0.6839
EP 13, MB 2, lr 5e-05, MB Loss= 0.6556
EP 13, MB 3, lr 5e-05, MB Loss= 0.6646
EP 13, MB 4, lr 5e-05, MB Loss= 0.6713
EP 13, MB 5, lr 5e-05, MB Loss= 0.6692
EP 13, MB 6, lr 5e-05, MB Loss= 0.6457
EP 13, MB 7, lr 5e-05, MB Loss= 0.6519
EP 13, MB 8, lr 5e-05, MB Loss= 0.6418
EP 13, MB 9, lr 5e-05, MB Loss= 0.6519
Train Loss:  0.6390 Test Loss:  0.6543 Train Accuracy:  0.7644 Test Accuracy:  0.7050


EP 14, MB 1, lr 5e-05, MB Loss= 0.6630
EP 14, MB 2, lr 5e-05, MB Loss= 0.6486
EP 14, MB 3, lr 5e-05, MB Loss= 0.6384
EP 14, MB 4, lr 5e-05, MB Loss= 0.6388
EP 14, MB 5, lr 5e-05, MB Loss= 0.6221
EP 14, MB 6, lr 5e-05, MB Loss= 0.6192
EP 14, MB 7, lr 5e-05, MB Loss= 0.6233
EP 14, MB 8, lr 5e-05, MB Loss= 0.6357
EP 14, MB 9, lr 5e-05, MB Loss= 0.6000
Train Loss:  0.6116 Test Loss:  0.6343 Train Accuracy:  0.7600 Test Accuracy:  0.7040


EP 15, MB 1, lr 5e-05, MB Loss= 0.6144
EP 15, MB 2, lr 5e-05, MB Loss= 0.5606
EP 15, MB 3, lr 5e-05, MB Loss= 0.6174
EP 15, MB 4, lr 5e-05, MB Loss= 0.5848
EP 15, MB 5, lr 5e-05, MB Loss= 0.6216
EP 15, MB 6, lr 5e-05, MB Loss= 0.5467
EP 15, MB 7, lr 5e-05, MB Loss= 0.6074
EP 15, MB 8, lr 5e-05, MB Loss= 0.6302
EP 15, MB 9, lr 5e-05, MB Loss= 0.5947
Train Loss:  0.5533 Test Loss:  0.5958 Train Accuracy:  0.7411 Test Accuracy:  0.6860


EP 16, MB 1, lr 5e-05, MB Loss= 0.5861
EP 16, MB 2, lr 5e-05, MB Loss= 0.5892
EP 16, MB 3, lr 5e-05, MB Loss= 0.6164
EP 16, MB 4, lr 5e-05, MB Loss= 0.5260
EP 16, MB 5, lr 5e-05, MB Loss= 0.6213
EP 16, MB 6, lr 5e-05, MB Loss= 0.5475
EP 16, MB 7, lr 5e-05, MB Loss= 0.5518
EP 16, MB 8, lr 5e-05, MB Loss= 0.5448
EP 16, MB 9, lr 5e-05, MB Loss= 0.5631
Train Loss:  0.5476 Test Loss:  0.5896 Train Accuracy:  0.7733 Test Accuracy:  0.7200


EP 17, MB 1, lr 5e-05, MB Loss= 0.5378
EP 17, MB 2, lr 5e-05, MB Loss= 0.5293
EP 17, MB 3, lr 5e-05, MB Loss= 0.5084
EP 17, MB 4, lr 5e-05, MB Loss= 0.5683
EP 17, MB 5, lr 5e-05, MB Loss= 0.5624
EP 17, MB 6, lr 5e-05, MB Loss= 0.5578
EP 17, MB 7, lr 5e-05, MB Loss= 0.5690
EP 17, MB 8, lr 5e-05, MB Loss= 0.5057
EP 17, MB 9, lr 5e-05, MB Loss= 0.5382
Train Loss:  0.5395 Test Loss:  0.5823 Train Accuracy:  0.7700 Test Accuracy:  0.7170


EP 18, MB 1, lr 5e-05, MB Loss= 0.6007
EP 18, MB 2, lr 5e-05, MB Loss= 0.5098
EP 18, MB 3, lr 5e-05, MB Loss= 0.4932
EP 18, MB 4, lr 5e-05, MB Loss= 0.5077
EP 18, MB 5, lr 5e-05, MB Loss= 0.5264
EP 18, MB 6, lr 5e-05, MB Loss= 0.5369
EP 18, MB 7, lr 5e-05, MB Loss= 0.4119
EP 18, MB 8, lr 5e-05, MB Loss= 0.5887
EP 18, MB 9, lr 5e-05, MB Loss= 0.5080
Train Loss:  0.4944 Test Loss:  0.5521 Train Accuracy:  0.7822 Test Accuracy:  0.7320


EP 19, MB 1, lr 5e-05, MB Loss= 0.4522
EP 19, MB 2, lr 5e-05, MB Loss= 0.4813
EP 19, MB 3, lr 5e-05, MB Loss= 0.5212
EP 19, MB 4, lr 5e-05, MB Loss= 0.5352
EP 19, MB 5, lr 5e-05, MB Loss= 0.5188
EP 19, MB 6, lr 5e-05, MB Loss= 0.5270
EP 19, MB 7, lr 5e-05, MB Loss= 0.4638
EP 19, MB 8, lr 5e-05, MB Loss= 0.5575
EP 19, MB 9, lr 5e-05, MB Loss= 0.4591
Train Loss:  0.4856 Test Loss:  0.5402 Train Accuracy:  0.7911 Test Accuracy:  0.7300


EP 20, MB 1, lr 5e-05, MB Loss= 0.5642
EP 20, MB 2, lr 5e-05, MB Loss= 0.5429
EP 20, MB 3, lr 5e-05, MB Loss= 0.4350
EP 20, MB 4, lr 5e-05, MB Loss= 0.4318
EP 20, MB 5, lr 5e-05, MB Loss= 0.4704
EP 20, MB 6, lr 5e-05, MB Loss= 0.5071
EP 20, MB 7, lr 5e-05, MB Loss= 0.4471
EP 20, MB 8, lr 5e-05, MB Loss= 0.4709
EP 20, MB 9, lr 5e-05, MB Loss= 0.5140
Train Loss:  0.4747 Test Loss:  0.5345 Train Accuracy:  0.8133 Test Accuracy:  0.7570


EP 21, MB 1, lr 5e-05, MB Loss= 0.5067
EP 21, MB 2, lr 5e-05, MB Loss= 0.4641
EP 21, MB 3, lr 5e-05, MB Loss= 0.4515
EP 21, MB 4, lr 5e-05, MB Loss= 0.4629
EP 21, MB 5, lr 5e-05, MB Loss= 0.4414
EP 21, MB 6, lr 5e-05, MB Loss= 0.4951
EP 21, MB 7, lr 5e-05, MB Loss= 0.4578
EP 21, MB 8, lr 5e-05, MB Loss= 0.5896
EP 21, MB 9, lr 5e-05, MB Loss= 0.4939
Train Loss:  0.4804 Test Loss:  0.5448 Train Accuracy:  0.7900 Test Accuracy:  0.7460


EP 22, MB 1, lr 5e-05, MB Loss= 0.5367
EP 22, MB 2, lr 5e-05, MB Loss= 0.5020
EP 22, MB 3, lr 5e-05, MB Loss= 0.4732
EP 22, MB 4, lr 5e-05, MB Loss= 0.4912
EP 22, MB 5, lr 5e-05, MB Loss= 0.4398
EP 22, MB 6, lr 5e-05, MB Loss= 0.4612
EP 22, MB 7, lr 5e-05, MB Loss= 0.4222
EP 22, MB 8, lr 5e-05, MB Loss= 0.5465
EP 22, MB 9, lr 5e-05, MB Loss= 0.4792
Train Loss:  0.4763 Test Loss:  0.5370 Train Accuracy:  0.8222 Test Accuracy:  0.7520


EP 23, MB 1, lr 5e-05, MB Loss= 0.4450
EP 23, MB 2, lr 5e-05, MB Loss= 0.4356
EP 23, MB 3, lr 5e-05, MB Loss= 0.5060
EP 23, MB 4, lr 5e-05, MB Loss= 0.5453
EP 23, MB 5, lr 5e-05, MB Loss= 0.4497
EP 23, MB 6, lr 5e-05, MB Loss= 0.4308
EP 23, MB 7, lr 5e-05, MB Loss= 0.5417
EP 23, MB 8, lr 5e-05, MB Loss= 0.3987
EP 23, MB 9, lr 5e-05, MB Loss= 0.4048
Train Loss:  0.4597 Test Loss:  0.5318 Train Accuracy:  0.8122 Test Accuracy:  0.7520


EP 24, MB 1, lr 5e-05, MB Loss= 0.3936
EP 24, MB 2, lr 5e-05, MB Loss= 0.5258
EP 24, MB 3, lr 5e-05, MB Loss= 0.4026
EP 24, MB 4, lr 5e-05, MB Loss= 0.4414
EP 24, MB 5, lr 5e-05, MB Loss= 0.4030
EP 24, MB 6, lr 5e-05, MB Loss= 0.4379
EP 24, MB 7, lr 5e-05, MB Loss= 0.5871
EP 24, MB 8, lr 5e-05, MB Loss= 0.4448
EP 24, MB 9, lr 5e-05, MB Loss= 0.4638
Train Loss:  0.4312 Test Loss:  0.5147 Train Accuracy:  0.8356 Test Accuracy:  0.7610


EP 25, MB 1, lr 5e-05, MB Loss= 0.4861
EP 25, MB 2, lr 5e-05, MB Loss= 0.4695
EP 25, MB 3, lr 5e-05, MB Loss= 0.4550
EP 25, MB 4, lr 5e-05, MB Loss= 0.4197
EP 25, MB 5, lr 5e-05, MB Loss= 0.4570
EP 25, MB 6, lr 5e-05, MB Loss= 0.4775
EP 25, MB 7, lr 5e-05, MB Loss= 0.4434
EP 25, MB 8, lr 5e-05, MB Loss= 0.4646
EP 25, MB 9, lr 5e-05, MB Loss= 0.4690
Train Loss:  0.4793 Test Loss:  0.5409 Train Accuracy:  0.8378 Test Accuracy:  0.7680


EP 26, MB 1, lr 5e-05, MB Loss= 0.4564
EP 26, MB 2, lr 5e-05, MB Loss= 0.5526
EP 26, MB 3, lr 5e-05, MB Loss= 0.4501
EP 26, MB 4, lr 5e-05, MB Loss= 0.4694
EP 26, MB 5, lr 5e-05, MB Loss= 0.3986
EP 26, MB 6, lr 5e-05, MB Loss= 0.4266
EP 26, MB 7, lr 5e-05, MB Loss= 0.4840
EP 26, MB 8, lr 5e-05, MB Loss= 0.5195
EP 26, MB 9, lr 5e-05, MB Loss= 0.3980
Train Loss:  0.4470 Test Loss:  0.5197 Train Accuracy:  0.8433 Test Accuracy:  0.7600


EP 27, MB 1, lr 5e-05, MB Loss= 0.4470
EP 27, MB 2, lr 5e-05, MB Loss= 0.5888
EP 27, MB 3, lr 5e-05, MB Loss= 0.5380
EP 27, MB 4, lr 5e-05, MB Loss= 0.4383
EP 27, MB 5, lr 5e-05, MB Loss= 0.3735
EP 27, MB 6, lr 5e-05, MB Loss= 0.4711
EP 27, MB 7, lr 5e-05, MB Loss= 0.4743
EP 27, MB 8, lr 5e-05, MB Loss= 0.4736
EP 27, MB 9, lr 5e-05, MB Loss= 0.4964
Train Loss:  0.4669 Test Loss:  0.5368 Train Accuracy:  0.8367 Test Accuracy:  0.7540


EP 28, MB 1, lr 5e-05, MB Loss= 0.4167
EP 28, MB 2, lr 5e-05, MB Loss= 0.4644
EP 28, MB 3, lr 5e-05, MB Loss= 0.4768
EP 28, MB 4, lr 5e-05, MB Loss= 0.5070
EP 28, MB 5, lr 5e-05, MB Loss= 0.4318
EP 28, MB 6, lr 5e-05, MB Loss= 0.4758
EP 28, MB 7, lr 5e-05, MB Loss= 0.4636
EP 28, MB 8, lr 5e-05, MB Loss= 0.5471
EP 28, MB 9, lr 5e-05, MB Loss= 0.4506
Train Loss:  0.4740 Test Loss:  0.5434 Train Accuracy:  0.7933 Test Accuracy:  0.7480


EP 29, MB 1, lr 5e-05, MB Loss= 0.5150
EP 29, MB 2, lr 5e-05, MB Loss= 0.5076
EP 29, MB 3, lr 5e-05, MB Loss= 0.4136
EP 29, MB 4, lr 5e-05, MB Loss= 0.4766
EP 29, MB 5, lr 5e-05, MB Loss= 0.4183
EP 29, MB 6, lr 5e-05, MB Loss= 0.4577
EP 29, MB 7, lr 5e-05, MB Loss= 0.4363
EP 29, MB 8, lr 5e-05, MB Loss= 0.4736
EP 29, MB 9, lr 5e-05, MB Loss= 0.2488
Train Loss:  0.4436 Test Loss:  0.5312 Train Accuracy:  0.8267 Test Accuracy:  0.7350


EP 30, MB 1, lr 5e-05, MB Loss= 0.5892
EP 30, MB 2, lr 5e-05, MB Loss= 0.4714
EP 30, MB 3, lr 5e-05, MB Loss= 0.3186
EP 30, MB 4, lr 5e-05, MB Loss= 0.4187
EP 30, MB 5, lr 5e-05, MB Loss= 0.3916
EP 30, MB 6, lr 5e-05, MB Loss= 0.5179
EP 30, MB 7, lr 5e-05, MB Loss= 0.5234
EP 30, MB 8, lr 5e-05, MB Loss= 0.4792
EP 30, MB 9, lr 5e-05, MB Loss= 0.4822
Train Loss:  0.4371 Test Loss:  0.5233 Train Accuracy:  0.8244 Test Accuracy:  0.7620


EP 31, MB 1, lr 5e-05, MB Loss= 0.3568
EP 31, MB 2, lr 5e-05, MB Loss= 0.5441
EP 31, MB 3, lr 5e-05, MB Loss= 0.4931
EP 31, MB 4, lr 5e-05, MB Loss= 0.3361
EP 31, MB 5, lr 5e-05, MB Loss= 0.5055
EP 31, MB 6, lr 5e-05, MB Loss= 0.4783
EP 31, MB 7, lr 5e-05, MB Loss= 0.4589
EP 31, MB 8, lr 5e-05, MB Loss= 0.5222
EP 31, MB 9, lr 5e-05, MB Loss= 0.5521
Train Loss:  0.4508 Test Loss:  0.5291 Train Accuracy:  0.8089 Test Accuracy:  0.7590


EP 32, MB 1, lr 5e-05, MB Loss= 0.4788
EP 32, MB 2, lr 5e-05, MB Loss= 0.4148
EP 32, MB 3, lr 5e-05, MB Loss= 0.5335
EP 32, MB 4, lr 5e-05, MB Loss= 0.4145
EP 32, MB 5, lr 5e-05, MB Loss= 0.4274
EP 32, MB 6, lr 5e-05, MB Loss= 0.4853
EP 32, MB 7, lr 5e-05, MB Loss= 0.4654
EP 32, MB 8, lr 5e-05, MB Loss= 0.4374
EP 32, MB 9, lr 5e-05, MB Loss= 0.3640
Train Loss:  0.4390 Test Loss:  0.5187 Train Accuracy:  0.8556 Test Accuracy:  0.7610


EP 33, MB 1, lr 5e-05, MB Loss= 0.3787
EP 33, MB 2, lr 5e-05, MB Loss= 0.5114
EP 33, MB 3, lr 5e-05, MB Loss= 0.3728
EP 33, MB 4, lr 5e-05, MB Loss= 0.4016
EP 33, MB 5, lr 5e-05, MB Loss= 0.4932
EP 33, MB 6, lr 5e-05, MB Loss= 0.4964
EP 33, MB 7, lr 5e-05, MB Loss= 0.4172
EP 33, MB 8, lr 5e-05, MB Loss= 0.6370
EP 33, MB 9, lr 5e-05, MB Loss= 0.5497
Train Loss:  0.4365 Test Loss:  0.5375 Train Accuracy:  0.8056 Test Accuracy:  0.7410


EP 34, MB 1, lr 5e-05, MB Loss= 0.4911
EP 34, MB 2, lr 5e-05, MB Loss= 0.4252
EP 34, MB 3, lr 5e-05, MB Loss= 0.4864
EP 34, MB 4, lr 5e-05, MB Loss= 0.4486
EP 34, MB 5, lr 5e-05, MB Loss= 0.3912
EP 34, MB 6, lr 5e-05, MB Loss= 0.5169
EP 34, MB 7, lr 5e-05, MB Loss= 0.3908
EP 34, MB 8, lr 5e-05, MB Loss= 0.3090
EP 34, MB 9, lr 5e-05, MB Loss= 0.5509
Train Loss:  0.4289 Test Loss:  0.5180 Train Accuracy:  0.8467 Test Accuracy:  0.7530


EP 35, MB 1, lr 5e-05, MB Loss= 0.5144
EP 35, MB 2, lr 5e-05, MB Loss= 0.4661
EP 35, MB 3, lr 5e-05, MB Loss= 0.4668
EP 35, MB 4, lr 5e-05, MB Loss= 0.4698
EP 35, MB 5, lr 5e-05, MB Loss= 0.4287
EP 35, MB 6, lr 5e-05, MB Loss= 0.3814
EP 35, MB 7, lr 5e-05, MB Loss= 0.4348
EP 35, MB 8, lr 5e-05, MB Loss= 0.3215
EP 35, MB 9, lr 5e-05, MB Loss= 0.4206
Train Loss:  0.4527 Test Loss:  0.5349 Train Accuracy:  0.8389 Test Accuracy:  0.7500


EP 36, MB 1, lr 5e-05, MB Loss= 0.3753
EP 36, MB 2, lr 5e-05, MB Loss= 0.4859
EP 36, MB 3, lr 5e-05, MB Loss= 0.4080
EP 36, MB 4, lr 5e-05, MB Loss= 0.3581
EP 36, MB 5, lr 5e-05, MB Loss= 0.4045
EP 36, MB 6, lr 5e-05, MB Loss= 0.5324
EP 36, MB 7, lr 5e-05, MB Loss= 0.3901
EP 36, MB 8, lr 5e-05, MB Loss= 0.4432
EP 36, MB 9, lr 5e-05, MB Loss= 0.4558
Train Loss:  0.4110 Test Loss:  0.5082 Train Accuracy:  0.8556 Test Accuracy:  0.7530


EP 37, MB 1, lr 5e-05, MB Loss= 0.5021
EP 37, MB 2, lr 5e-05, MB Loss= 0.3617
EP 37, MB 3, lr 5e-05, MB Loss= 0.4330
EP 37, MB 4, lr 5e-05, MB Loss= 0.4596
EP 37, MB 5, lr 5e-05, MB Loss= 0.3792
EP 37, MB 6, lr 5e-05, MB Loss= 0.4143
EP 37, MB 7, lr 5e-05, MB Loss= 0.3997
EP 37, MB 8, lr 5e-05, MB Loss= 0.4857
EP 37, MB 9, lr 5e-05, MB Loss= 0.3707
Train Loss:  0.4256 Test Loss:  0.5206 Train Accuracy:  0.8400 Test Accuracy:  0.7640


EP 38, MB 1, lr 5e-05, MB Loss= 0.4096
EP 38, MB 2, lr 5e-05, MB Loss= 0.5830
EP 38, MB 3, lr 5e-05, MB Loss= 0.3818
EP 38, MB 4, lr 5e-05, MB Loss= 0.3798
EP 38, MB 5, lr 5e-05, MB Loss= 0.4535
EP 38, MB 6, lr 5e-05, MB Loss= 0.4022
EP 38, MB 7, lr 5e-05, MB Loss= 0.4514
EP 38, MB 8, lr 5e-05, MB Loss= 0.4749
EP 38, MB 9, lr 5e-05, MB Loss= 0.4793
Train Loss:  0.4127 Test Loss:  0.5055 Train Accuracy:  0.8678 Test Accuracy:  0.7810


EP 39, MB 1, lr 5e-05, MB Loss= 0.3908
EP 39, MB 2, lr 5e-05, MB Loss= 0.6185
EP 39, MB 3, lr 5e-05, MB Loss= 0.6322
EP 39, MB 4, lr 5e-05, MB Loss= 0.6898
EP 39, MB 5, lr 5e-05, MB Loss= 0.5290
EP 39, MB 6, lr 5e-05, MB Loss= 0.4057
EP 39, MB 7, lr 5e-05, MB Loss= 0.4096
EP 39, MB 8, lr 5e-05, MB Loss= 0.6447
EP 39, MB 9, lr 5e-05, MB Loss= 0.5768
Train Loss:  0.4526 Test Loss:  0.5269 Train Accuracy:  0.8589 Test Accuracy:  0.7710


EP 40, MB 1, lr 5e-05, MB Loss= 0.4284
EP 40, MB 2, lr 5e-05, MB Loss= 0.4072
EP 40, MB 3, lr 5e-05, MB Loss= 0.5107
EP 40, MB 4, lr 5e-05, MB Loss= 0.4507
EP 40, MB 5, lr 5e-05, MB Loss= 0.4078
EP 40, MB 6, lr 5e-05, MB Loss= 0.5130
EP 40, MB 7, lr 5e-05, MB Loss= 0.4225
EP 40, MB 8, lr 5e-05, MB Loss= 0.3503
EP 40, MB 9, lr 5e-05, MB Loss= 0.4180
Train Loss:  0.4453 Test Loss:  0.5346 Train Accuracy:  0.8378 Test Accuracy:  0.7370


EP 41, MB 1, lr 5e-05, MB Loss= 0.3764
EP 41, MB 2, lr 5e-05, MB Loss= 0.4252
EP 41, MB 3, lr 5e-05, MB Loss= 0.4795
EP 41, MB 4, lr 5e-05, MB Loss= 0.5507
EP 41, MB 5, lr 5e-05, MB Loss= 0.4466
